time,A:gene off,A:gene on,A:mRNA,A:protein
0.138995,2,0,0,133
2.96675,2,0,0,132
0.382163,2,0,0,131
1.1425,2,0,0,130
7.73624,2,0,0,129
0.378744,2,0,0,128
0.380572,2,0,0,127
0.860534,2,0,0,126
2.92717,2,0,0,125
6.73415,2,0,0,124
2.76751,1,1,0,124
0.500054,2,0,0,124
2.9843,2,0,0,123
0.519636,2,0,0,122
6.68112,2,0,0,121
2.11944,2,0,0,120
1.94578,2,0,0,119
4.72441,1,1,0,119
0.606131,1,1,1,119
0.702479,1,1,2,119
0.0246195,1,1,2,120
0.131765,1,1,3,120
0.170954,1,1,3,121
0.074637,1,1,2,121
0.086345,1,1,3,121
0.130604,1,1,2,121
0.471272,1,1,3,121
0.531107,1,1,3,120
0.142892,1,1,4,120
0.450239,1,1,4,119
0.0199187,1,1,5,119
0.0861478,1,1,6,119
0.0751135,1,1,6,118
0.225705,1,1,7,118
0.0938692,1,1,7,117
0.00753034,1,1,8,117
0.0201398,1,1,8,118
0.0694747,1,1,8,119
0.0653401,1,1,8,120
0.171292,1,1,8,121
0.0218085,1,1,7,121
0.0459578,1,1,7,122
0.17586,1,1,8,122
0.200015,1,1,7,122
0.324579,1,1,7,123
0.378991,1,1,6,123
0.143075,1,1,7,123
0.062441,1,1,7,124
0.0455162,1,1,6,124
0.297487,1,1,7,124
0.107241,1,1,7,125
0.3367,1,1,8,125
0.069494,1,1,7,125
0.05261,1,1,8,125
0.0261266,1,1,9,125
0.416458,1,1,10,125
0.0426423,1,1,10,126
0.333116,1,1,10,127
0.0306335,1,1,10,128
0.296804,1,1,11,128
0.0175687,1,1,10,128
0.235715,1,1,9,128
0.0389191,1,1,9,129
0.0389619,1,1,10,129
0.0736777,1,1,11,129
0.0262963,1,1,11,130
0.300672,1,1,11,131
0.12274,2,0,11,131
0.457862,2,0,11,132
0.136782,2,0,11,133
0.133223,2,0,11,134
0.0478301,2,0,11,135
0.831433,2,0,10,135
0.0550326,2,0,9,135
0.130431,2,0,8,135
0.253346,2,0,8,136
0.302881,2,0,8,137
0.433091,2,0,8,138
0.289896,2,0,7,138
0.479605,2,0,7,139
0.0293061,2,0,7,140
0.335899,2,0,7,141
0.00184568,2,0,6,141
0.00527761,2,0,5,141
0.715789,2,0,4,141
0.0205879,2,0,4,142
0.193768,2,0,4,143
0.838415,2,0,4,144
0.340602,2,0,4,145
0.217975,2,0,4,146
0.877592,2,0,4,147
0.184894,2,0,4,148
0.23553,2,0,4,149
0.067195,2,0,4,150
